unicode_greek,transliteration,lemma,part_of_speech,english_gloss,example_usage,notes,frequency,classical_sources
ζυγός,zygos,ζυγός,noun masc nom sg,yoke,ὁ ζυγὸς συνάπτει,Animal harness,360,Homer.Il Hesiod
φορμός,phormos,φορμός,noun masc nom sg,basket,ὁ φορμὸς φέρει,Carrying container,280,Homer.Il Aristophanes
κάλαθος,kalathos,κάλαθος,noun masc nom sg,work basket,ὁ κάλαθος εὔχρηστος,Weaving basket,220,Homer.Il Theocr
κανοῦν,kanoun,κανοῦν,noun neut nom sg,basket,τὸ κανοῦν ἱερόν,Ritual basket,180,Aristophanes
πίθος,pithos,πίθος,noun masc nom sg,storage jar,ὁ πίθος μέγας,Large vessel,320,Homer.Il Aristophanes
ἀμφορεύς,amphoreus,ἀμφορεύς,noun masc nom sg,amphora,ὁ ἀμφορεὺς οἰνηρός,Two-handled jar,280,Aristophanes
κάδος,kados,κάδος,noun masc nom sg,jar,ὁ κάδος ὑδρηλός,Water vessel,240,Homer.Il Aristophanes
ὑδρία,hydria,ὑδρία,noun fem nom sg,water jar,ἡ ὑδρία πλήρης,Water container,260,Homer.Il Aristophanes
κρατήρ,kratēr,κρατήρ,noun masc nom sg,mixing bowl,ὁ κρατὴρ οἰνηρός,Wine vessel,320,Homer.Il Aristophanes
κύλιξ,kylix,κύλιξ,noun fem nom sg,cup,ἡ κύλιξ καλή,Drinking vessel,280,Homer.Il Aristophanes
σκύφος,skyphos,σκύφος,noun masc nom sg,cup,ὁ σκύφος βαθύς,Deep cup,220,Homer.Il Aristophanes
ναῦς,naus,ναῦς,noun fem nom sg,ship,ἡ ναῦς πλεῖ,Marine vessel,680,Homer.Il Thucydides
πλοῖον,ploion,πλοῖον,noun neut nom sg,vessel,τὸ πλοῖον μέγα,Sailing craft,480,Homer.Od Thucydides
ὁλκάς,holkas,ὁλκάς,noun fem nom sg,merchant ship,ἡ ὁλκὰς φορτηγός,Cargo vessel,240,Thucydides
τριήρης,triērēs,τριήρης,noun fem nom sg,trireme,ἡ τριήρης ταχεῖα,War galley,320,Thucydides Xenophon
πεντηκόντορος,pentēkontoros,πεντηκόντορος,noun fem nom sg,fifty-oared ship,ἡ πεντηκόντορος μακρά,Long galley,120,Homer.Il
λέμβος,lembos,λέμβος,noun fem nom sg,light vessel,ἡ λέμβος κούφη,Fast boat,180,Homer.Il Xenophon
ἄκατος,akatos,ἄκατος,noun fem nom sg,light ship,ἡ ἄκατος ταχεῖα,Small vessel,160,Homer.Il Herodotus
σκάφη,skaphē,σκάφη,noun fem nom sg,skiff,ἡ σκάφη μικρά,Small boat,220,Homer.Il Aristophanes
κέλης,kelēs,κέλης,noun masc nom sg,yacht,ὁ κέλης ταχύς,Fast ship,140,Thucydides
ἱστίον,histion,ἱστίον,noun neut nom sg,sail,τὸ ἱστίον λευκόν,Wind catcher,340,Homer.Od Thucydides
ἱστός,histos,ἱστός,noun masc nom sg,mast,ὁ ἱστὸς ὀρθός,Sail support,260,Homer.Od Thucydides
κεραία,keraia,κεραία,noun fem nom sg,yard arm,ἡ κεραία στερεά,Sail beam,180,Homer.Od
σχοινίον,schoinion,σχοινίον,noun neut nom sg,rope,τὸ σχοινίον ἰσχυρόν,Twisted cordage,240,Homer.Od Thucydides
πεῖσμα,peisma,πεῖσμα,noun neut nom sg,cable,τὸ πεῖσμα παχύ,Mooring rope,160,Homer.Od
εὐνή,eynē,εὐνή,noun fem nom sg,anchor cable,ἡ εὐνὴ ἰσχυρά,Ship's anchor line,120,Homer.Od
ἄγκυρα,ankyra,ἄγκυρα,noun fem nom sg,anchor,ἡ ἄγκυρα βαρεῖα,Mooring weight,200,Herodotus Thucydides
πηδάλιον,pēdalion,πηδάλιον,noun neut nom sg,rudder,τὸ πηδάλιον στρέφει,Steering oar,240,Homer.Od Plato
κωπή,kōpē,κωπή,noun fem nom sg,oar,ἡ κωπὴ κρούει,Rowing blade,320,Homer.Il Thucydides
πρῷρα,prōira,πρῷρα,noun fem nom sg,prow,ἡ πρῷρα ὀξεῖα,Ship's front,280,Homer.Il Thucydides
πρύμνη,prymnē,πρύμνη,noun fem nom sg,stern,ἡ πρύμνη πλατεῖα,Ship's rear,240,Homer.Il Thucydides
τρόπις,tropis,τρόπις,noun fem nom sg,keel,ἡ τρόπις στερεά,Ship's backbone,160,Homer.Il
σελμάς,selmas,σελμάς,noun fem nom sg,deck plank,ἡ σελμὰς ξυλίνη,Ship flooring,120,Homer.Il
κλίμαξ,klimax,κλίμαξ,noun fem nom sg,ladder,ἡ κλίμαξ ὀρθή,Climbing device,240,Homer.Od Xenophon
λευκός,leukos,λευκός,adj masc nom sg,white,λευκὸς χιών,Bright color,580,Homer.Il Plato
μέλας,melas,μέλας,adj masc nom sg,black/dark,μέλας κόραξ,Dark color,620,Homer.Il Aeschylus
ἐρυθρός,erythros,ἐρυθρός,adj masc nom sg,red,ἐρυθρὸς οἶνος,Blood color,420,Homer.Il Herodotus
ξανθός,xanthos,ξανθός,adj masc nom sg,yellow/blonde,ξανθὸς ἥλιος,Golden color,380,Homer.Il Pindar
χλωρός,chlōros,χλωρός,adj masc nom sg,green/pale,χλωρὸν φύλλον,Plant color,340,Homer.Il Theophrastus
κυάνεος,kyaneos,κυάνεος,adj masc nom sg,dark blue,κυάνεος οὐρανός,Sky color,280,Homer.Il
πορφύρεος,porphyreos,πορφύρεος,adj masc nom sg,purple,πορφύρεος χιτών,Royal color,320,Homer.Il Aristophanes
ἁλουργής,halouprgēs,ἁλουργής,adj masc nom sg,sea-purple,ἁλουργὴς ἐσθής,Deep purple,180,Aristophanes
οἰνόπης,oinōpēs,οἰνόπης,adj masc nom sg,wine-dark,οἰνόπης πόντος,Wine-colored,240,Homer.Il
ἀργύρεος,argyreos,ἀργύρεος,adj masc nom sg,silver,ἀργύρεος κρατήρ,Silver-colored,260,Homer.Il
χρυσεός,chryseos,χρυσεός,adj masc nom sg,golden,χρυσεὸς στέφανος,Gold-colored,420,Homer.Il
αἰγλήεις,aiglēeis,αἰγλήεις,adj masc nom sg,gleaming,αἰγλήεις ἥλιος,Shining bright,180,Homer.Il
λαμπρός,lampros,λαμπρός,adj masc nom sg,bright/brilliant,λαμπρὸς ἀστήρ,Luminous quality,320,Homer.Il Plato
σκοτεινός,skoteinos,σκοτεινός,adj masc nom sg,dark,σκοτεινὴ νύξ,Without light,280,Aeschylus Plato
ἀμαυρός,amauros,ἀμαυρός,adj masc nom sg,dim,ἀμαυρὸς φῶς,Faint light,180,Homer.Il
παμφαής,pamphaēs,παμφαής,adj masc nom sg,all-bright,παμφαὲς φῶς,Very bright,120,Homer.Il
στίλβων,stilbōn,στιλβών,adj masc nom sg,glittering,στίλβων χαλκός,Gleaming metal,160,Homer.Il
ποικίλος,poikilos,ποικίλος,adj masc nom sg,varied/dappled,ποικίλος ὄφις,Many-colored,380,Homer.Il Aeschylus
αἰόλος,aiolos,αἰόλος,adj masc nom sg,quick-moving,αἰόλος ἵππος,Swift-changing,240,Homer.Il
τρηχύς,trachys,τραχύς,adj masc nom sg,rough,τραχεῖα πέτρα,Uneven surface,320,Homer.Il Plato
λεῖος,leios,λεῖος,adj masc nom sg,smooth,λεῖος λίθος,Even surface,280,Homer.Il Plato
μαλακός,malakos,μαλακός,adj masc nom sg,soft,μαλακὸς μαλλός,Yielding texture,340,Homer.Il Aristophanes
σκληρός,sklēros,σκληρός,adj masc nom sg,hard,σκληρὸς λίθος,Firm texture,300,Homer.Il Plato
χαρά,chara,χαρά,noun fem nom sg,joy,ἡ χαρὰ μεγάλη,Happiness emotion,520,Homer.Il Aristophanes
εὐφροσύνη,euphrosynē,εὐφροσύνη,noun fem nom sg,mirth,ἡ εὐφροσύνη ἡδεῖα,Cheerful feeling,280,Pindar Aristophanes
ἡδονή,hēdonē,ἡδονή,noun fem nom sg,pleasure,ἡ ἡδονὴ τέρπει,Physical enjoyment,420,Plato Aristophanes
τέρψις,terpsis,τέρψις,noun fem nom sg,delight,ἡ τέρψις καλή,Refined pleasure,240,Pindar Plato
λύπη,lypē,λύπη,noun fem nom sg,pain/grief,ἡ λύπη βαρεῖα,Emotional suffering,460,Homer.Il Plato
ὀδύνη,odynē,ὀδύνη,noun fem nom sg,pain,ἡ ὀδύνη ὀξεῖα,Physical suffering,320,Homer.Il Hippocrates
ἄλγος,algos,ἄλγos,noun neut nom sg,pain,τὸ ἄλγος δεινόν,General suffering,380,Homer.Il Aeschylus
πένθος,penthos,πένθος,noun neut nom sg,grief,τὸ πένθος βαρύ,Mourning sorrow,320,Homer.Il Sophocles
θρῆνος,thrēnos,θρῆνος,noun masc nom sg,lament,ὁ θρῆνος μελῳδεῖ,Funeral song,240,Aeschylus Sophocles
κλαυθμός,klauthmos,κλαυθμός,noun masc nom sg,weeping,ὁ κλαυθμὸς πικρός,Vocal grief,220,Homer.Il Euripides
δάκρυον,dakryon,δάκρυον,noun neut nom sg,tear,τὸ δάκρυον ῥεῖ,Grief fluid,360,Homer.Il Euripides
φόβος,phobos,φόβος,noun masc nom sg,fear,ὁ φόβος δείλός,Terror emotion,520,Homer.Il Plato
δέος,deos,δέος,noun neut nom sg,fear/awe,τὸ δέος σέβας,Reverent fear,340,Homer.Il Aeschylus
τρόμος,tromos,τρόμος,noun masc nom sg,trembling,ὁ τρόμος σείει,Physical fear,260,Homer.Il Hippocrates
θάρσος,tharsos,θάρσος,noun neut nom sg,courage,τὸ θάρσος ἀνδρεῖον,Brave confidence,380,Homer.Il Thucydides
ἀνδρεία,andreia,ἀνδρεία,noun fem nom sg,courage,ἡ ἀνδρεία καλή,Manly virtue,420,Plato Aristotle
τόλμα,tolma,τόλμα,noun fem nom sg,daring,ἡ τόλμα θρασεῖα,Bold audacity,320,Thucydides Plato
θυμός,thymos,θυμός,noun masc nom sg,spirit/anger,ὁ θυμὸς μένει,Emotional energy,680,Homer.Il Plato
ὀργή,orgē,ὀργή,noun fem nom sg,anger,ἡ ὀργὴ χαλεπή,Violent emotion,420,Homer.Il Aristotle
μῆνις,mēnis,μῆνις,noun fem nom sg,wrath,ἡ μῆνις θεία,Divine anger,280,Homer.Il Aeschylus
κότος,kotos,κότος,noun masc nom sg,grudge,ὁ κότος μακρός,Lasting resentment,240,Homer.Il Aeschylus
νέμεσις,nemesis,νέμεσις,noun fem nom sg,indignation,ἡ νέμεσις δικαία,Righteous anger,320,Hesiod Aeschylus
φθόνος,phthonos,φθόνος,noun masc nom sg,envy,ὁ φθόνος κακός,Jealous resentment,280,Pindar Plato
ἔρως,erōs,ἔρως,noun masc nom sg,love/desire,ὁ ἔρως καίει,Passionate love,520,Sappho Plato
φιλία,philia,φιλία,noun fem nom sg,friendship,ἡ φιλία πιστή,Affectionate bond,480,Aristotle Plato
στοργή,storgē,στοργή,noun fem nom sg,affection,ἡ στοργὴ οἰκεία,Family love,240,Aristotle
ἀγάπη,agapē,ἀγάπη,noun fem nom sg,love,ἡ ἀγάπη ἀγαθή,Selfless love,320,NT Plato
μίσος,misos,μίσος,noun neut nom sg,hatred,τὸ μίσος πικρόν,Hostile emotion,340,Homer.Il Thucydides
ἔχθρα,echthra,ἔχθρα,noun fem nom sg,hostility,ἡ ἔχθρα πολεμία,Active enmity,380,Homer.Il Thucydides
ζῆλος,zēlos,ζῆλος,noun masc nom sg,zeal/jealousy,ὁ ζῆλος σφοδρός,Intense emotion,280,Plato
ἐλπίς,elpis,ἐλπίς,noun fem nom sg,hope,ἡ ἐλπὶς ἀγαθή,Future expectation,520,Hesiod Plato
μνήμη,mnēmē,μνήμη,noun fem nom sg,memory,ἡ μνήμη μένει,Recollection faculty,420,Plato Aristotle
λήθη,lēthē,λήθη,noun fem nom sg,forgetfulness,ἡ λήθη καλύπτει,Memory loss,320,Hesiod Plato
σοφία,sophia,σοφία,noun fem nom sg,wisdom,ἡ σοφία θεία,Divine knowledge,680,Heraclitus Plato
φρόνησις,phronēsis,φρόνησις,noun fem nom sg,practical wisdom,ἡ φρόνησις χρήσιμος,Sound judgment,380,Aristotle
μωρία,mōria,μωρία,noun fem nom sg,folly,ἡ μωρία βλάπτει,Foolish ignorance,240,Aristophanes Plato
ἄγνοια,agnoia,ἄγνοια,noun fem nom sg,ignorance,ἡ ἄγνοια σκοτεινή,Lack of knowledge,280,Plato
ἐπιστήμη,epistēmē,ἐπιστήμη,noun fem nom sg,knowledge,ἡ ἐπιστήμη ἀληθής,Scientific knowledge,420,Plato Aristotle
τέχνη,technē,τέχνη,noun fem nom sg,art/skill,ἡ τέχνη σοφή,Practical skill,580,Plato Aristotle
ἐμπειρία,empeiria,ἐμπειρία,noun fem nom sg,experience,ἡ ἐμπειρία διδάσκει,Practical knowledge,320,Aristotle
μάθησις,mathēsis,μάθησις,noun fem nom sg,learning,ἡ μάθησις ὠφέλιμος,Educational process,280,Plato
διδασκαλία,didaskalia,διδασκαλία,noun fem nom sg,teaching,ἡ διδασκαλία παιδεύει,Educational instruction,320,Plato Aristotle
παίδευσις,paideusis,παίδευσις,noun fem nom sg,education,ἡ παίδευσις καλή,Cultural formation,380,Plato
γυμνασία,gymnasia,γυμνασία,noun fem nom sg,exercise,ἡ γυμνασία ἰσχυρά,Physical training,240,Plato Xenophon
ἀσκησις,askēsis,ἄσκησις,noun fem nom sg,practice,ἡ ἄσκησις βελτιόω,Disciplined training,220,Plato
πόνος,ponos,πόνος,noun masc nom sg,toil/labor,ὁ πόνος κοπιῶδης,Hard work,460,Hesiod Xenophon
μέγας,megas,μέγας,adj masc nom sg,great/large,ἀνὴρ μέγας,Already included above,820,Homer.Il Herodotus
